DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ZcTag029,102465,Mk10,DS,4,0,4,18,14,2014-06-16 02:41:46,B,0,35.511,-74.891,,,50,,401677534,-128
ZcTag029,102465,Mk10,DS,3,0,1,50,22,2014-06-16 08:43:36,NP,A,35.4723,-74.5867,44.6706,-118.7371,,,401677631,-136
ZcTag029,102465,Mk10,DS,3,0,1,50,22,2014-06-16 08:43:36,P,A,35.472,-74.587,,,,,401677631,-136
ZcTag029,102465,Mk10,DS,5,0,4,16,16,2014-06-16 09:45:01,NN,B,35.709,-75.1903,36.9462,-79.8522,,,401677573,-128
ZcTag029,102465,Mk10,DS,5,0,4,16,16,2014-06-16 09:45:01,N,B,35.709,-75.19,,,,,401677606,-125
ZcTag029,102465,Mk10,DS,4,0,2,31,18,2014-06-16 10:46:22,SR,Z,35.4885,-74.624,34.4021,-80.1451,30,,401677595,-128
ZcTag029,102465,Mk10,DS,4,0,2,31,18,2014-06-16 10:45:36,R,,,,,,,,,-128
ZcTag029,102465,Mk10,DS,5,0,5,47,18,2014-06-16 14:59:33,MB,,,,,,,,401677573,-128
ZcTag029,102465,Mk10,DS,5,0,5,47,18,2014-06-16 15:01:08,B,,,,,,,,,
ZcTag029,102465,Mk10,DS,3,0,3,25,20,2014-06-16 19:35:28,NN,A,35.7165,-74.5462,42.8026,-41.1838,,,401677602,-133
ZcTag029,102465,Mk10,DS,3,0,3,25,20,2014-06-16 19:35:04,N,,,,,,,,,-133
ZcTag029,102465,Mk10,DS,4,0,3,37,16,2014-06-16 21:07:30,NN,0,35.7823,-74.1341,,,60,,401677636,-129
ZcTag029,102465,Mk10,DS,4,0,3,37,16,2014-06-16 21:06:50,N,,,,,,,,,-129
ZcTag029,102465,Mk10,DS,5,0,4,25,15,2014-06-16 21:30:33,NK,B,35.4232,-74.5112,35.6901,-72.9279,,,401677573,-131
ZcTag029,102465,Mk10,DS,5,0,4,25,15,2014-06-16 21:30:41,K,,,,,,,,,-131
ZcTag029,102465,Mk10,DS,5,0,5,113,20,2014-06-18 01:05:59,MA,1,40.8511,-47.8797,35.5336,-74.781,60,,401677565,-120
ZcTag029,102465,Mk10,DS,5,0,5,113,20,2014-06-18 01:06:38,A,,,,,,,,,-120
ZcTag029,102465,Mk10,DS,3,0,3,148,44,2014-06-18 01:58:34,MB,Z,35.9907,-72.5969,35.5384,-74.8556,30,,401677562,-121
ZcTag029,102465,Mk10,DS,3,0,3,148,44,2014-06-18 01:56:06,B,,,,,,,,,-121
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-18 02:43:06,MA,,,,,,,,401677627,-133
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-18 02:43:06,A,,,,,,,,,
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-18 07:42:16,NN,,,,,,,,401677627,-136
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-18 07:42:16,N,,,,,,,,,
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-18 09:20:37,NN,,,,,,,,401677627,-134
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-18 09:20:37,N,,,,,,,,,
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-18 11:07:20,NK,,,,,,,,401677627,-129
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-18 11:07:20,K,,,,,,,,,
ZcTag029,102465,Mk10,DS,3,0,3,19,18,2014-06-18 13:29:08,MA,Z,26.9103,-33.2898,35.3986,-74.9849,30,,401677532,-132
ZcTag029,102465,Mk10,DS,3,0,3,19,18,2014-06-18 13:29:07,A,,,,,,,,,-132
ZcTag029,102465,Mk10,DS,4,0,3,28,17,2014-06-18 18:12:56,NP,Z,34.6904,-76.0891,32.8972,-52.0163,30,,401677524,-131
ZcTag029,102465,Mk10,DS,4,0,3,28,17,2014-06-18 18:12:15,P,,,,,,,,,-131
ZcTag029,102465,Mk10,DS,4,0,4,67,43,2014-06-18 19:08:46,NN,0,35.6101,-74.7122,44.6616,-30.4642,66,,401677567,-131
ZcTag029,102465,Mk10,DS,4,0,4,67,43,2014-06-18 19:08:46,N,0,35.61,-74.712,,,66,,401677567,-131
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-18 19:46:10,NP,,,,,,,,401677567,-137
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-18 19:46:10,P,,,,,,,,,
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-18 23:40:36,SR,,,,,,,,401677567,-121
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-18 23:40:36,R,,,,,,,,,
ZcTag029,102465,Mk10,DS,4,0,4,35,25,2014-06-20 00:22:49,MA,0,35.8922,-74.5096,44.7387,-28.2625,50,,401677483,-129
ZcTag029,102465,Mk10,DS,4,0,4,35,25,2014-06-20 00:22:49,A,0,35.892,-74.51,,,50,,401677483,-129
ZcTag029,102465,Mk10,DS,5,0,5,83,14,2014-06-20 09:05:39,NN,1,35.6915,-74.7624,32.4728,-59.4453,60,,401677553,-125
ZcTag029,102465,Mk10,DS,5,0,5,83,14,2014-06-20 09:05:39,N,1,35.692,-74.762,,,60,,401677553,-125
ZcTag029,102465,Mk10,DS,4,0,4,43,41,2014-06-20 10:44:52,NN,0,35.7098,-74.7887,42.3426,-107.3372,58,,401677559,-133
ZcTag029,102465,Mk10,DS,4,0,4,43,41,2014-06-20 10:44:52,N,0,35.71,-74.789,,,58,,401677559,-133
ZcTag029,102465,Mk10,DS,4,0,4,47,22,2014-06-20 11:56:07,NK,0,35.7745,-74.6522,44.4168,-116.9872,67,,401677553,-134
ZcTag029,102465,Mk10,DS,4,0,4,47,22,2014-06-20 11:56:07,K,0,35.774,-74.652,,,67,,401677606,-134
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-20 14:19:30,MA,,,,,,,,401677553,-137
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-06-20 14:19:30,A,,,,,,,,,
ZcTag029,102465,Mk10,DS,3,0,1,26,16,2014-06-20 16:09:45,MA,A,35.604,-74.5217,42.3745,-109.4218,8,,401677520,-129
